=== ОТЧЕТ CIAN.RU ===
Время поиска: 21.07.2025 19:38:14
Общее количество: 5
Новых объявлений: 14
Уже просмотренных: 0
Регион: Пермь
Период: Последний месяц
""
№,ID объявления,Цена,Цена (число),Площадь,Площадь (число),Адрес,Этаж,Назначение,Описание,Телефоны,Ссылка,Добавлено,Широта,Долгота
1,300137368,"11,700 ₽/мес.",11700.0,15.0 м²,15.0,"Россия, Пермь, улица Чернышевского, 8",1/5,"Офис, Клиника, Сервис, Коммерция, Бытовые услуги и еще 7","Сдается офисы на 1 этаже в здании по адресу г. Пермь, ул. Чернышевского, д.8. Возможно арендовать частями от 15 квадратов  Вокруг здания расположены бесплатные парковочные места, так же имеется закрыт...",+7 9193502248,https://perm.cian.ru/rent/commercial/300137368/,неделю назад,57.999806,56.274682
2,308382295,"19,750 ₽/мес.",19750.0,25.0 м²,25.0,"Россия, Пермь, улица Тургенева, 33Ас1",4/4,Свободное назначение,"остались  помещения:  24,4 кв.м. и 44,2 кв.м.кв.м. на 4 этаже ,со ставкой 850 рублей за кв.м. 
                                                                              
      Деловой центр  имеет...",+7 9823201030,https://perm.cian.ru/rent/commercial/308382295/,2 недели назад,58.014412,56.295847
3,318592697,"16,000 ₽/мес.",16000.0,20.0 м²,20.0,"Пермский край, городской округ Пермь, Пермь, шоссе Космонавтов, 61Б",3/5,Свободное назначение,"Офисное помещение, площадью 20 метров кв. Третий этаж офисного центра ""Волна"". Сдается в аренду. 
Здание расположено в оживленном микрорайоне, развитая транспортная и социальная инфраструктура. Остано...","+7 9191104719, +7 9822402887",https://perm.cian.ru/rent/commercial/318592697/,30 минут назад,57.993916,56.212833
4,284674559,"4,000 ₽/мес.",4000,20.0 м²,20.0,"Пермь, Екатерининская улица, 120А",2/3,Свободное назначение,"Полностью оборудованное РАБОЧЕЕ МЕСТО в офисе в самом центре Перми! 
ВСЕ ВКЛЮЧЕНО: есть кондиционер, интернет Wi-Fi (10 МБит/сек), мебель, микроволновая печь, чайник, яркое освещение, приятные соседи,...",+7 9124902362,https://perm.cian.ru/rent/commercial/284674559/,год назад,58.008204,56.233207
5,319607696,"180,000 ₽/мес.",180000.0,180.0 м²,180.0,"Россия, Пермь, улица Луначарского, 83А",3/3,Свободное назначение,"Помещение под офис, 3 этаж, отдельный вход. в помещении выделены 3 комнаты и зал. 3 сан. узла. Приглашаем на просмотр.","+7 9191109342, +7 9128012112",https://perm.cian.ru/rent/commercial/319607696/,четыре дня назад,58.006888,56.23928
6,309775526,"17,100 ₽/мес.",17100.0,34.2 м²,34.2,"Россия, Пермь, улица Героев Хасана, 68А/1",2/2,"Цех, Зал, Хостел, Медицинский центр, Офис и еще 18","СДАЕТСЯ ОФИС в офисном здании.
Адрес: г. Пермь, Свердловский район, ул. Героев Хасана, д. 68а/1.
 Удачное расположение: в 150м. от главной дороги, рядом расположен магазины, остановка общественного тр...",+7 9127905884,https://perm.cian.ru/rent/commercial/309775526/,два дня назад,57.963192,56.260265
7,313559950,"20,000 ₽/мес.",20000,20.0 м²,20.0,"Россия, Пермь, улица Куйбышева, 47",2/12,Свободное назначение,"Аренда помещения в центре Перми  идеально для вашего бизнеса !
 Адрес: ул. Куйбышева, 47
  Площадь: 20 кв.м
  Арендная ставка: 20 000 руб./мес. + электричество по счётчику
 Почему это помещение — удач...",+7 9194607453,https://perm.cian.ru/rent/commercial/313559950/,3 недели назад,58.003016,56.237789
8,239409561,"46,580 ₽/мес.",46580.0,34.0 м²,34.0,"Россия, Пермский край, Пермь, улица Ленина, 66",2/2,Свободное назначение,Прекрасное офисное  помещение  в центре Перми с видом  на городскую эспланаду.  КУ входит в оплату аренды. Дополнительно оплачивается связь. Есть платная парковка.,+7 9191210514,https://perm.cian.ru/rent/commercial/239409561/,2 недели назад,58.008943,56.229129
9,194480467,"21,490 ₽/мес.",21490.0,30.7 м²,30.7,"Россия, Пермский край, Пермь, Уральская улица, 102",3/5,Свободное назначение,Небольшой офис на 3 этаже. Лифт. Большая парковка. Удобно экономично. Ждем.Ку дополнительно. До 100 рублей за кв. м.,+7 9191210514,https://perm.cian.ru/rent/commercial/194480467/,неделю назад,58.022258,56.283872
10,305686176,"390,000 ₽/мес.",390000.0,300.0 м²,300.0,"Пермский край, городской округ Пермь, Пермь, улица Ленина, 66",1/2,Свободное назначение,"Аренда офисных помещений. Помещение свободного назначения. Этаж 2/2. Здание нежилое. Площадь 300м2.  Свободная планировка, ремонт в офисном стиле. Отдельный вход с улицы Пермской. Санузел. Большие окн...","+7 9191104719, +7 9822402887",https://perm.cian.ru/rent/commercial/305686176/,6 часов назад,58.008943,56.229129
